,Unnamed: 0,Age,Overall,Potential,Special,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
count,367.0,367.0,367.0,367.0,367.0,327.0,327.0,327.0,327.0,327.0,367.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0
mean,5713.294277929155,25.26158038147139,70.59945504087193,75.01362397820164,1689.640326975477,63.68501529051988,58.54434250764526,60.64525993883792,63.50764525993884,62.87461773700306,205193.75476839236,63.68501529051988,60.44648318042813,58.54434250764526,62.87461773700306,60.64525993883792,63.50764525993884,64.32721712538226,62.051987767584095,63.69724770642202,61.45871559633027,63.68501529051988,60.44648318042813,58.54434250764526,62.87461773700306,60.64525993883792,63.50764525993884,64.32721712538226,62.051987767584095,63.69724770642202,61.45871559633027,62.051987767584095
std,4293.892099395526,4.466294011260777,5.881832706424171,5.642087132738429,283.724229821619,10.003152352048478,12.396207988567532,9.815608290534323,10.044338955435927,8.551514652049912,42169.79142476934,10.003152352048478,9.597867454801138,12.396207988567532,8.551514652049912,9.815608290534323,10.044338955435927,9.563476626030846,8.929532618515147,10.300251280950539,8.827799206826372,10.003152352048478,9.597867454801138,12.396207988567532,8.551514652049912,9.815608290534323,10.044338955435927,9.563476626030846,8.929532618515147,10.300251280950539,8.827799206826372,8.929532618515147
min,0.0,17.0,54.0,62.0,823.0,38.0,32.0,34.0,37.0,41.0,2492.0,38.0,35.0,32.0,41.0,34.0,37.0,39.0,38.0,36.0,37.0,38.0,35.0,32.0,41.0,34.0,37.0,39.0,38.0,36.0,37.0,38.0
25%,2141.5,22.0,67.0,71.0,1555.0,57.0,48.0,54.0,58.0,58.0,194936.0,57.0,54.0,48.0,58.0,54.0,58.0,59.0,56.0,58.0,56.0,57.0,54.0,48.0,58.0,54.0,58.0,59.0,56.0,58.0,56.0,56.0
50%,4662.0,25.0,71.0,74.0,1728.0,65.0,62.0,62.0,65.0,63.0,213646.0,65.0,61.0,62.0,63.0,62.0,65.0,66.0,63.0,65.0,61.0,65.0,61.0,62.0,63.0,62.0,65.0,66.0,63.0,65.0,61.0,63.0
75%,8709.5,28.0,74.0,78.0,1884.0,71.0,69.0,68.0,71.0,69.0,229474.5,71.0,68.0,69.0,69.0,68.0,71.0,72.0,69.0,72.0,68.0,71.0,68.0,69.0,69.0,68.0,71.0,72.0,69.0,72.0,68.0,69.0
max,17143.0,41.0,94.0,94.0,2228.0,89.0,83.0,82.0,91.0,82.0,241071.0,89.0,80.0,83.0,82.0,82.0,91.0,89.0,92.0,91.0,80.0,89.0,80.0,83.0,82.0,82.0,91.0,89.0,92.0,91.0,80.0,92.0
